AIRPORT,STATION NAME,LAT,LON
LBB,LUBBOCK INTERNATIONAL AIRPORT,33.666,-101.823
MHT,MANCHESTER AIRPORT,42.93,-71.436
ROA,ROANOKE REGIONAL/WOODRUM FIELD AP,37.317,-79.974
FAR,HECTOR INTERNATIONAL AIRPORT,46.924,-96.812
TLH,TALLAHASSEE REGIONAL AIRPORT,30.394,-84.351
SBN,SOUTH BEND REGIONAL AIRPORT,41.707,-86.316
CHO,CHARLOTTESVILLE ALBEMARLE ARPT,38.137,-78.455
FWA,FORT WAYNE INTERNATIONAL AIRPORT,40.972,-85.206
BTR,BATON ROUGE METRO R,30.537,-91.147
MFR,ROGUE VALLEY INTL-MEDFORD AIRPORT,42.375,-122.877
PGD,CHARLOTTE COUNTY AIRPORT,26.918,-81.994
MFE,MC ALLEN MILLER INTL ARPT,26.179,-98.245
PSC,TRI-CITIES AIRPORT,46.27,-119.118
SHV,SHREVEPORT REGIONAL AIRPORT,32.447,-93.824
AMA,AMARILLO RICK HUSBAND INTL AIRPORT,35.22,-101.717
CRP,CORPUS CHRISTI INTERNATIONAL AIRPORT,27.773,-97.513
HRL,VALLEY INTERNATIONAL ARPT,26.23,-97.656
JAC,JACKSON HOLE AIRPORT,43.6,-110.733
SBP,SAN LUIS CO REGIONAL ARPT,35.238,-120.644
TVC,CHERRY CAPITAL AIRPORT,44.739,-85.568
MSO,MISSOULA INTERNATIONAL AIRPORT,46.921,-114.094
BIL,BILLINGS LOGAN INTERNATIONAL AIRPORT,45.807,-108.546
MOB,MOBILE REGIONAL AIRPORT,30.688,-88.246
RAP,RAPID CITY REGIONAL AIRPORT,44.046,-103.054
MLI,QUAD CITY INTERNATIONAL AIRPORT,41.448,-90.524
GRB,AUSTIN STRAUBEL INTERNATIONAL AP,44.48,-88.137
BGR,BANGOR INTERNATIONAL ARPT,44.798,-68.819
AGS,AUGUSTA REGIONAL AT BUSH FIELD AP,33.365,-81.964
MRY,MONTEREY PENINSULA,36.583,-121.833
LFT,LAFAYETTE REGIONAL AIRPORT,30.199,-91.99
ISP,LONG ISLAND MAC ART,40.794,-73.102
ABE,LEHIGH VALLEY INTERNATIONAL AIRPORT,40.65,-75.448
PIA,GREATER PEORIA REGIONAL AIRPORT,40.667,-89.684
STS,SONOMA COUNTY AIRPORT,38.504,-122.811
TRI,BRISTOL TRI CITY AIRPORT,36.473,-82.404
GPT,GULFPORT-BILOXI INTL ARPT,30.412,-89.081
IDA,IDAHO FALLS REGIONAL ARPT,43.52,-112.068
GJT,GRAND JUNCTION REGIONAL AIRPORT,39.134,-108.541
GNV,GAINESVILLE RGNL,29.692,-82.276
DRO,DURA-LA PLATA CO AIRPORT,37.143,-107.76
BIS,BISMARCK MUNICIPAL AIRPORT,46.782,-100.758
EGE,EAGLE CO REGIONAL AIRPORT,39.65,-106.917
CAK,AKRON-CANTON REGIONAL AIRPORT,40.918,-81.443
CRW,YEAGER AIRPORT,38.38,-81.591
EVV,EVANSVILLE REGIONAL AIRPORT,38.05,-87.515
SAF,SANTA FE MUNICIPAL AIRPORT,35.611,-106.096
MGM,MONTGOMERY RGNL (DANNELLY FD) AP,32.3,-86.407
BRO,BROWNSVILLE/S PADRE ISLAND INTL AP,25.915,-97.423
FAY,FAYETT RGNL/GRANNIS FLD AP,34.99,-78.88
ACY,ATLANTIC CITY INTERNATIONAL AIRPORT,39.452,-74.567
SGU,ST GEORGE MUNICIPAL ARPT,37.1,-113.6
AVP,WILKES-BARRE/SCRANTON INTL AIRPORT,41.333,-75.723
LRD,LAREDO INTERNATIONAL AIRPORT,27.533,-99.467
PAE,SNOHOMISH CO (PAINE FD) AP,47.923,-122.283
FNT,BISHOP INTERNATIONAL AIRPORT,42.967,-83.75
